latinad_id,display_name,latitude,longitude,city
9281,MUPI 1 SHOP CINEPOLIS - MUPI-AME-01,19.6888699,-101.1603441,
9282,MUPI 2 HANDTECK - MUPI-AME-02,19.6888699,-101.1603441,
9283,MUPI 2 HANDTECK CINEPOLIS - MUPI-AME-02,19.6888699,-101.1603441,
9284,MUPI 3 FAST FOOD TACO INN - MUPI-AME-03,19.6888699,-101.1603441,
9285,MUPI 3 FAST FOOD TACO INN LIVERPOOL - MUPI-AME-03,19.6888699,-101.1603441,
9286,MUPI 4 FAST FOOD SUSHI - MUPI-AME-04,19.6888699,-101.1603441,
9287,MUPI 4 FAST FOOD SUSHI LIVERPOOL - MUPI-AME-04,19.6888699,-101.1603441,
9288,MUPI 5 ADIDAS - MUPI-AME-05,19.6888699,-101.1603441,
9289,MUPI 5 ADIDAS RESTAURANTES - MUPI-AME-05,19.6888699,-101.1603441,
9290,MUPI 6 PANDORA - MUPI-AME-06,19.6888699,-101.1603441,
9291,MUPI 6 PANDORA ENTRADA PLAZA - MUPI-AME-06,19.6888699,-101.1603441,
9356,Directorio Megaplaza Progreso,15.42350395,-87.80602546,
9386,TOTEM SANKRIS,14.6114914,-90.5977526,
9523,San Roque Salto Shopping 1 - Av. JosÃ© Batlle Y OrdÃ³Ã±ez 2265,-31.3802268,-57.9681047,
9524,San Roque Salto Shopping 2 - Av. JosÃ© Batlle Y OrdÃ³Ã±ez 2265,-31.383944,-57.944306,
9962,Circuito A,9.95260894,-84.11000687,
10025,D-0010 - Jalisco,20.6579615,-103.3606445,
10026,Plaza dle sol,20.6524042,-103.4014461,
10027,D-0015 - jalisco,20.5887162,-103.443665,
10028,MX-JAL-02 - jalisco,20.5871553,-103.4203848,
10029,MX-JAL-27 - jalisco,20.4655299,-103.2573732,
10051,CENTRO COMECIAL PLAZA IMPERIAL - Pantalla 3er Piso Diagonal Play Land,4.7505689,-74.095311,
10052,CENTRO COMECIAL TITAN PLAZA - TERCER PISO - DIAGONAL PLAY LAND,4.694708,-74.086188,
10053,CENTRO COMECIAL ANDINO - PANTALLA FACHADA PLAZA SUEÃ‘A (FRENTE A ZARA Y EL RETIRO),4.666848,-74.0525726,
10056,VALLA -  CARRERA 30 CALLE 50,4.64020163,-74.07899492,
10057,VALLA -   CALLE 80 AVENIDA BOYACA,4.6943063,-74.0913643,
10059,VALLA -    CARRERA 15 CON CALLE 100,4.6678454,-74.1547452,
10060,VALLA -    AUTOPISTA NORTE CON 184,4.7585944,-74.0450336,
10061,VALLA - AVENIDA  68 CON 68,4.6513611,-74.104994,
10062,VALLA - AV. SUBA CON 127,4.7108713,-74.0721905,
10098,Mupi 27,-34.5677725,-58.4592876,
10099,Mupi 28,-34.5559092,-58.4173486,
10102,Mupi 31,-34.5590181,-58.4591916,
10108,Mupi 37,-34.5677725,-58.4592876,
10109,Mupi 38,-34.5649648,-58.4211452,
10140,Mupi 69,-34.5748972,-58.4353373,
10152,Mupi 81,-34.5985882,-58.4283956,
10154,Mupi 83,-34.5589667,-58.4768996,
10162,Mupi 91,-34.6073212,-58.399267,
10223,Circuito 30P Bogota - tienda social y bar,4.7109886,-74.072092,
10224,Circuito 9P Bogota - minimercados y mayoristas,4.7109886,-74.072092,
10225,"Circuito 48P Bogota - minimercados, tienda y licorerias",4.7109886,-74.072092,
10323,SMARFIT Walmart Escazu,9.9207515,-84.1461526,
10328,SMARFIT San Sebastian,9.91072473,-84.08559572,
10358,SMARFIT Paseo MetrÃ³poli,9.8676144,-83.9419668,
10363,SMARFIT Multiplaza Escazu,9.945604,-84.1522941,
10368,SMARFIT Mall Oxigeno,9.945604,-84.1522941,
10372,SMARFIT Mall San Pedro,9.9341993,-84.0561665,
10376,SMARFIT Zona Centro,9.896053,-84.0860828,
10380,SMARFIT Multicentro,9.9000573,-84.0684117,
10384,SMARFIT Plaza Trinidad,10.0105125,-84.2256719,
10393,SMARFIT Plaza de la cultura,9.9338888,-84.0773025,
10398,SMARFIT Terrazas Lindora,9.9572529,-84.1966609,
10404,SMARFIT Plaza Lincoln,25.7615415,-100.4018597,
10419,VALLA -    AUTOPISTA NORTE CON 183,4.7594603,-74.0444937,
10439,Aeropuerto BogotÃ¡ - Circuito Gold,4.6968913,-74.1399299,
10442,Aeropuerto BogotÃ¡ - Sala de Abordaje MUELLE SUR,4.69794949,-74.14449009,
10443,Valla Calle 87,4.6764236,-74.0634285,
10444,Aeropuerto BogotÃ¡ - LED ESCALERA ACCESO DUTY FREE LLEGADAS INTERNACIONALES,4.69781299,-74.14276171,
10445,Aeropuerto BogotÃ¡ - EQUIPAJES INTERNACIONALES (bandas),4.69871384,-74.1422203,
10450,Aeropuerto BogotÃ¡ - DINTEL CHECK IN AVIANCA,4.69958743,-74.14173586,
10455,Aeropuerto BogotÃ¡ TPA Circuito AIRTV,4.70091142,-74.14369862,
10483,C.C PLAZA DE LAS AMERICAS - Plaza Corazon,4.6188556,-74.1352285,
10484,C.C PLAZA DE LAS AMERICAS -Zona de comidas,4.6188556,-74.1352285,
